机场,起飞/到达,航线名,机型,每周班期,参考准点率,航空公司/航班号,价格排序,出发时间
深圳宝安国际机场;上海浦东国际机场,09:50;12:10,深圳到上海,,0010001,,南方航空;CZ6755,-,,
深圳宝安国际机场;上海浦东国际机场,09:50;12:10,深圳到上海,,0101000,,东方航空;MU3301,-,,
巴中恩阳机场;上海浦东国际机场,09:55;12:35,巴中到上海,,0101011,,中国国航;CA4479,-,,
梅州梅县机场;上海浦东国际机场,09:55;12:05,梅州到上海,,0101010,,天津航空;GS6587,-,,
大连周水子国际机场;上海浦东国际机场,10:15;12:05,大连到上海,,1111111,,春秋航空;9C8844,-,,
宜昌三峡机场;上海浦东国际机场,10:20;12:20,宜昌到上海,,1111111,,上海航空;FM9366,-,,
宜昌三峡机场;上海浦东国际机场,10:20;12:20,宜昌到上海,,1111111,,东方航空;MU9366,-,,
长沙黄花国际机场;上海浦东国际机场,10:25;12:25,长沙到上海,,1111111,,南方航空;CZ3240,¥540起;09-19周四,,
张家口机场;上海浦东国际机场,10:25;12:50,张家口到上海,,1011111,,东方航空;MU2176,-,,
张家口机场;上海浦东国际机场,10:25;12:55,张家口到上海,,0100000,,东方航空;MU2176,-,,
广州白云国际机场;上海浦东国际机场,10:30;12:55,广州到上海,,1000100,,南方航空;CZ3550,-,,
广州白云国际机场;上海浦东国际机场,10:30;13:00,广州到上海,,0111011,,南方航空;CZ3550,-,,
包头东河机场;上海浦东国际机场,10:30;13:15,包头到上海,,1111111,,上海航空;FM9438,-,,
包头东河机场;上海浦东国际机场,10:30;13:15,包头到上海,,1111111,,东方航空;MU9438,-,,
贵阳龙洞堡国际机场;上海浦东国际机场,10:35;13:00,贵阳到上海,,1111111,,南方航空;CZ3651,-,,
惠州平潭机场;上海浦东国际机场,10:35;12:45,惠州到上海,,1111111,,吉祥航空;HO1012,-,,
贵阳龙洞堡国际机场;上海浦东国际机场,10:35;13:00,贵阳到上海,,1111111,,东方航空;MU3250,-,,
惠州平潭机场;上海浦东国际机场,10:35;12:45,惠州到上海,,1111111,,东方航空;MU4814,-,,
惠州平潭机场;上海浦东国际机场,10:35;12:45,惠州到上海,,1111111,,深圳航空;ZH5002,-,,
丽江三义机场;上海浦东国际机场,10:40;15:55,丽江到上海,,1001011,,中国国航;CA3218,-,,
丽江三义机场;上海浦东国际机场,10:40;16:05,丽江到上海,,0110100,,中国国航;CA3218,-,,
丽江三义机场;上海浦东国际机场,10:40;15:55,丽江到上海,,1001011,,吉祥航空;HO1072,-,,
丽江三义机场;上海浦东国际机场,10:40;16:05,丽江到上海,,0110100,,吉祥航空;HO1072,-,,
丽江三义机场;上海浦东国际机场,10:40;15:55,丽江到上海,,1001011,,东方航空;MU4880,-,,
丽江三义机场;上海浦东国际机场,10:40;16:05,丽江到上海,,0110100,,东方航空;MU4880,-,,
哈尔滨太平国际机场;上海浦东国际机场,10:40;13:40,哈尔滨到上海,,0101010,,中国国航;CA1972,-,,
哈尔滨太平国际机场;上海浦东国际机场,10:40;13:40,哈尔滨到上海,,0101010,,深圳航空;ZH1972,-,,
昆明长水国际机场;上海浦东国际机场,10:45;17:55,昆明到上海,,1111111,,昆明航空;KY8341,-,,
青岛流亭国际机场;上海浦东国际机场,10:45;12:35,青岛到上海,,0101011,,吉祥航空;HO1264,-,,
万州五桥机场;上海浦东国际机场,10:50;13:00,万州到上海,,1011101,,上海航空;FM9462,-,,
襄阳刘集机场;上海浦东国际机场,10:50;12:40,襄阳到上海,,1111110,,吉祥航空;HO1062,-,,
东营胜利机场;上海浦东国际机场,10:50;12:50,东营到上海,,1111110,,吉祥航空;HO1174,-,,
万州五桥机场;上海浦东国际机场,10:50;13:00,万州到上海,,1011101,,东方航空;MU9462,-,,
深圳宝安国际机场;上海浦东国际机场,10:55;16:10,深圳到上海,,0001101,,四川航空;3U4049,-,,
深圳宝安国际机场;上海浦东国际机场,10:55;16:10,深圳到上海,,1111111,,中国国航;CA3809,-,,
深圳宝安国际机场;上海浦东国际机场,10:55;16:10,深圳到上海,,1111111,,吉祥航空;HO3959,-,,
深圳宝安国际机场;上海浦东国际机场,10:55;16:10,深圳到上海,,1111111,,昆明航空;KY9509,-,,
乌鲁木齐地窝堡国际机场;上海浦东国际机场,10:55;17:20,乌鲁木齐到上海,,0000010,,东方航空;MU5606,-,,
深圳宝安国际机场;上海浦东国际机场,10:55;16:10,深圳到上海,,1111111,,深圳航空;ZH9509,-,,
乌鲁木齐地窝堡国际机场;上海浦东国际机场,11:00;17:20,乌鲁木齐到上海,,0100000,,东方航空;MU5606,-,,
西宁曹家堡机场;上海浦东国际机场,11:00;13:55,西宁到上海,,0000001,,中国国航;CA3234,-,,
大连周水子国际机场;上海浦东国际机场,11:00;12:55,大连到上海,,1100010,,吉祥航空;HO1166,-,,
大连周水子国际机场;上海浦东国际机场,11:00;13:05,大连到上海,,0010100,,吉祥航空;HO1166,-,,
西宁曹家堡机场;上海浦东国际机场,11:00;13:55,西宁到上海,,0000001,,吉祥航空;HO1280,-,,
大连周水子国际机场;上海浦东国际机场,11:00;12:55,大连到上海,,1100010,,东方航空;MU4676,-,,
大连周水子国际机场;上海浦东国际机场,11:00;13:05,大连到上海,,0010100,,东方航空;MU4676,-,,
西宁曹家堡机场;上海浦东国际机场,11:00;13:55,西宁到上海,,0000001,,东方航空;MU4768,-,,
大连周水子国际机场;上海浦东国际机场,11:00;12:55,大连到上海,,1100010,,深圳航空;ZH5046,-,,
大连周水子国际机场;上海浦东国际机场,11:00;13:05,大连到上海,,0010100,,深圳航空;ZH5046,-,,
武汉天河国际机场;上海浦东国际机场,11:05;12:35,武汉到上海,,1010000,,中国国航;CA3250,-,,
武汉天河国际机场;上海浦东国际机场,11:05;12:35,武汉到上海,,1010000,,吉祥航空;HO1074,-,,
长治机场;上海浦东国际机场,11:05;13:10,长治到上海,,1111111,,吉祥航空;HO1140,-,,
乌鲁木齐地窝堡国际机场;上海浦东国际机场,11:10;17:25,乌鲁木齐到上海,,1111111,,上海航空;FM9222,-,,
乌鲁木齐地窝堡国际机场;上海浦东国际机场,11:10;17:25,乌鲁木齐到上海,,1111111,,东方航空;MU9222,-,,
南宁吴圩国际机场;上海浦东国际机场,11:10;14:00,南宁到上海,,1011101,,中国国航;CA1962,-,,
长春龙嘉国际机场;上海浦东国际机场,11:10;13:55,长春到上海,,0010010,,吉祥航空;HO1190,-,,
南宁吴圩国际机场;上海浦东国际机场,11:10;14:00,南宁到上海,,1011101,,深圳航空;ZH1962,-,,
临沂沭埠岭机场;上海浦东国际机场,11:15;12:45,临沂到上海,,1111011,,上海航空;FM9240,-,,
临沂沭埠岭机场;上海浦东国际机场,11:15;12:45,临沂到上海,,1111011,,东方航空;MU9240,-,,
深圳宝安国际机场;上海浦东国际机场,11:20;13:35,深圳到上海,,1111111,,中国国航;CA1894,-,,
桂林两江国际机场;上海浦东国际机场,11:20;13:45,桂林到上海,,0000001,,中国国航;CA3212,-,,
郑州新郑国际机场;上海浦东国际机场,11:20;13:10,郑州到上海,,1111101,,上海航空;FM821,-,,
桂林两江国际机场;上海浦东国际机场,11:20;13:45,桂林到上海,,0000001,,吉祥航空;HO1154,-,,
沈阳桃仙国际机场;上海浦东国际机场,11:20;13:55,沈阳到上海,,1111111,,吉祥航空;HO1182,-,,
桂林两江国际机场;上海浦东国际机场,11:20;13:45,桂林到上海,,0000001,,东方航空;MU4700,-,,
沈阳桃仙国际机场;上海浦东国际机场,11:20;13:55,沈阳到上海,,1111111,,东方航空;MU4944,-,,
郑州新郑国际机场;上海浦东国际机场,11:20;13:10,郑州到上海,,1111101,,东方航空;MU9821,-,,
深圳宝安国际机场;上海浦东国际机场,11:20;13:35,深圳到上海,,1111111,,深圳航空;ZH1894,-,,
沈阳桃仙国际机场;上海浦东国际机场,11:20;13:55,沈阳到上海,,1111111,,深圳航空;ZH5054,-,,
临沂沭埠岭机场;上海浦东国际机场,11:25;13:00,临沂到上海,,0000100,,上海航空;FM9240,-,,
牡丹江海浪机场;上海浦东国际机场,11:25;14:25,牡丹江到上海,,1111111,,上海航空;FM9510,-,,
临沂沭埠岭机场;上海浦东国际机场,11:25;13:00,临沂到上海,,0000100,,东方航空;MU9240,-,,
牡丹江海浪机场;上海浦东国际机场,11:25;14:25,牡丹江到上海,,1111111,,东方航空;MU9510,-,,
重庆江北国际机场;上海浦东国际机场,11:30;13:50,重庆到上海,,1111001,,四川航空;3U2206,-,,
重庆江北国际机场;上海浦东国际机场,11:30;13:55,重庆到上海,,0000010,,四川航空;3U2206,-,,
银川河东机场;上海浦东国际机场,11:30;14:15,银川到上海,,1111111,,中国国航;CA1257,-,,
重庆江北国际机场;上海浦东国际机场,11:30;13:50,重庆到上海,,1111001,,中国国航;CA3224,-,,
重庆江北国际机场;上海浦东国际机场,11:30;13:55,重庆到上海,,0000010,,中国国航;CA3224,-,,
襄阳刘集机场;上海浦东国际机场,11:30;13:25,襄阳到上海,,0000001,,吉祥航空;HO1062,-,,
重庆江北国际机场;上海浦东国际机场,11:30;13:45,重庆到上海,,0000100,,吉祥航空;HO1246,-,,
重庆江北国际机场;上海浦东国际机场,11:30;13:50,重庆到上海,,1111001,,吉祥航空;HO1246,-,,
重庆江北国际机场;上海浦东国际机场,11:30;13:55,重庆到上海,,0000010,,吉祥航空;HO1246,-,,
大同云冈机场;上海浦东国际机场,11:30;14:10,大同到上海,,0101001,,吉祥航空;HO3736,-,,
重庆江北国际机场;上海浦东国际机场,11:30;13:50,重庆到上海,,1111001,,东方航空;MU4762,-,,
重庆江北国际机场;上海浦东国际机场,11:30;13:55,重庆到上海,,0000010,,东方航空;MU4762,-,,
大同云冈机场;上海浦东国际机场,11:30;14:10,大同到上海,,0101001,,东方航空;MU5248,-,,
银川河东机场;上海浦东国际机场,11:30;14:15,银川到上海,,1111111,,深圳航空;ZH1257,-,,
贵阳龙洞堡国际机场;上海浦东国际机场,11:40;14:20,贵阳到上海,,0000010,,中国国航;CA3274,-,,
汉中城固机场;上海浦东国际机场,11:40;13:45,汉中到上海,,0000010,,吉祥航空;HO1022,-,,
汉中城固机场;上海浦东国际机场,11:40;13:55,汉中到上海,,1101000,,吉祥航空;HO1022,-,,
贵阳龙洞堡国际机场;上海浦东国际机场,11:40;14:20,贵阳到上海,,0000010,,吉祥航空;HO1204,-,,
长春龙嘉国际机场;上海浦东国际机场,11:40;14:40,长春到上海,,0101010,,东方航空;MU5698,-,,
昆明长水国际机场;上海浦东国际机场,11:45;16:40,昆明到上海,,1111110,,东方航空;MU9711,-,,
