机场,起飞/到达,航线名,机型,每周班期,参考准点率,航空公司/航班号,价格排序,出发时间
桂林两江国际机场;上海浦东国际机场,16:15;18:40,桂林到上海,,1111111,,南方航空;CZ3251,-,,
丹东浪头机场;上海浦东国际机场,16:15;18:40,丹东到上海,,0010001,,南方航空;CZ6756,-,,
丹东浪头机场;上海浦东国际机场,16:15;18:40,丹东到上海,,1000100,,南方航空;CZ8518,-,,
桂林两江国际机场;上海浦东国际机场,16:15;18:40,桂林到上海,,1111111,,东方航空;MU3258,-,,
三亚凤凰国际机场;上海浦东国际机场,16:20;20:55,三亚到上海,,0001110,,上海航空;FM9518,-,,
三亚凤凰国际机场;上海浦东国际机场,16:20;21:10,三亚到上海,,1100001,,上海航空;FM9518,-,,
三亚凤凰国际机场;上海浦东国际机场,16:20;20:55,三亚到上海,,0001110,,东方航空;MU9518,-,,
三亚凤凰国际机场;上海浦东国际机场,16:20;21:10,三亚到上海,,1100001,,东方航空;MU9518,-,,
伊宁市伊宁机场;上海浦东国际机场,16:20;23:20,伊宁市到上海,,0101010,,金鹏航空;Y87514,-,,
哈尔滨太平国际机场;上海浦东国际机场,16:20;19:30,哈尔滨到上海,,0001010,,四川航空;3U8305,-,,
岳阳三荷机场;上海浦东国际机场,16:20;18:05,岳阳到上海,,0101010,,吉祥航空;HO1192,-,,
哈尔滨太平国际机场;上海浦东国际机场,16:20;19:30,哈尔滨到上海,,0001010,,吉祥航空;HO3417,-,,
哈尔滨太平国际机场;上海浦东国际机场,16:20;19:30,哈尔滨到上海,,0001010,,东方航空;MU4035,-,,
哈尔滨太平国际机场;上海浦东国际机场,16:20;19:30,哈尔滨到上海,,0001010,,山东航空;SC7011,-,,
百色机场;上海浦东国际机场,16:25;21:30,百色到上海,,0101010,,东方航空;MU5494,-,,
齐齐哈尔三家子机场;上海浦东国际机场,16:25;21:40,齐齐哈尔到上海,,0010101,,东方航空;MU5590,-,,
延吉朝阳川机场;上海浦东国际机场,16:25;19:40,延吉到上海,,0100010,,吉祥航空;HO3756,-,,
泸州云龙机场;上海浦东国际机场,16:25;19:15,泸州到上海,,1111111,,吉祥航空;HO3786,-,,
延吉朝阳川机场;上海浦东国际机场,16:25;19:40,延吉到上海,,0100010,,东方航空;MU5652,-,,
泸州云龙机场;上海浦东国际机场,16:25;19:15,泸州到上海,,1111111,,东方航空;MU5793,-,,
赤峰玉龙机场;上海浦东国际机场,16:30;21:10,赤峰到上海,,1111111,,东方航空;MU2370,-,,
西安咸阳国际机场;上海浦东国际机场,16:30;18:50,西安到上海,,1010100,,四川航空;3U2212,-,,
西安咸阳国际机场;上海浦东国际机场,16:30;19:00,西安到上海,,0000001,,四川航空;3U2212,-,,
西安咸阳国际机场;上海浦东国际机场,16:30;18:55,西安到上海,,0101010,,四川航空;3U2214,-,,
西安咸阳国际机场;上海浦东国际机场,16:30;18:55,西安到上海,,0101010,,中国国航;CA3230,-,,
西安咸阳国际机场;上海浦东国际机场,16:30;18:50,西安到上海,,1010100,,中国国航;CA3286,-,,
西安咸阳国际机场;上海浦东国际机场,16:30;19:00,西安到上海,,0000001,,中国国航;CA3286,-,,
三亚凤凰国际机场;上海浦东国际机场,16:30;19:40,三亚到上海,,1111111,,南方航空;CZ6781,-,,
西安咸阳国际机场;上海浦东国际机场,16:30;18:50,西安到上海,,1010100,,吉祥航空;HO1008,-,,
西安咸阳国际机场;上海浦东国际机场,16:30;19:00,西安到上海,,0000001,,吉祥航空;HO1008,-,,
西安咸阳国际机场;上海浦东国际机场,16:30;18:55,西安到上海,,0101010,,吉祥航空;HO1010,-,,
岳阳三荷机场;上海浦东国际机场,16:30;18:15,岳阳到上海,,1010100,,吉祥航空;HO1054,-,,
三明沙县机场;上海浦东国际机场,16:30;18:05,三明到上海,,0000001,,吉祥航空;HO1110,-,,
三明沙县机场;上海浦东国际机场,16:30;18:10,三明到上海,,0010000,,吉祥航空;HO1110,-,,
西安咸阳国际机场;上海浦东国际机场,16:30;18:50,西安到上海,,1010100,,东方航空;MU4832,-,,
西安咸阳国际机场;上海浦东国际机场,16:30;19:00,西安到上海,,0000001,,东方航空;MU4832,-,,
西安咸阳国际机场;上海浦东国际机场,16:30;18:55,西安到上海,,0101010,,东方航空;MU4842,-,,
岳阳三荷机场;上海浦东国际机场,16:30;18:15,岳阳到上海,,1010100,,东方航空;MU4904,-,,
大连周水子国际机场;上海浦东国际机场,16:30;18:40,大连到上海,,0000010,,东方航空;MU5628,-,,
西安咸阳国际机场;上海浦东国际机场,16:30;18:50,西安到上海,,1010100,,深圳航空;ZH5018,-,,
西安咸阳国际机场;上海浦东国际机场,16:30;19:00,西安到上海,,0000001,,深圳航空;ZH5018,-,,
西安咸阳国际机场;上海浦东国际机场,16:30;18:55,西安到上海,,0101010,,深圳航空;ZH5120,-,,
揭阳潮汕机场;上海浦东国际机场,16:35;20:05,揭阳到上海,,1111111,,东方航空;MU5206,-,,
昆明长水国际机场;上海浦东国际机场,16:35;21:30,昆明到上海,,1111111,,东方航空;MU5532,-,,
大连周水子国际机场;上海浦东国际机场,16:35;18:40,大连到上海,,0101001,,东方航空;MU5628,-,,
佳木斯东郊机场;上海浦东国际机场,16:40;21:50,佳木斯到上海,,1101010,,东方航空;MU5640,-,,
大连周水子国际机场;上海浦东国际机场,16:40;18:40,大连到上海,,1010100,,东方航空;MU5668,-,,
武汉天河国际机场;上海浦东国际机场,16:45;18:15,武汉到上海,,0110101,,东方航空;MU5270,-,,
北京首都国际机场;上海浦东国际机场,16:45;19:00,北京到上海,,0100001,,东方航空;MU563,-,,
北京首都国际机场;上海浦东国际机场,16:45;19:05,北京到上海,,1011000,,东方航空;MU563,-,,
天津滨海国际机场;上海浦东国际机场,16:50;19:00,天津到上海,,1111000,,四川航空;3U2232,-,,
天津滨海国际机场;上海浦东国际机场,16:50;19:00,天津到上海,,1111000,,中国国航;CA3204,-,,
天津滨海国际机场;上海浦东国际机场,16:50;19:00,天津到上海,,1111000,,吉祥航空;HO1136,-,,
天津滨海国际机场;上海浦东国际机场,16:50;19:00,天津到上海,,1111000,,东方航空;MU4852,-,,
哈尔滨太平国际机场;上海浦东国际机场,16:55;22:20,哈尔滨到上海,,0100000,,上海航空;FM9174,-,,
哈尔滨太平国际机场;上海浦东国际机场,16:55;22:20,哈尔滨到上海,,0100000,,东方航空;MU9174,-,,
威海大水泊机场;上海浦东国际机场,16:55;18:55,威海到上海,,0011000,,上海航空;FM9354,-,,
威海大水泊机场;上海浦东国际机场,16:55;19:00,威海到上海,,1000101,,上海航空;FM9354,-,,
威海大水泊机场;上海浦东国际机场,16:55;19:05,威海到上海,,0000010,,上海航空;FM9354,-,,
锦州湾机场;上海浦东国际机场,16:55;19:15,锦州到上海,,1111111,,吉祥航空;HO3602,-,,
锦州湾机场;上海浦东国际机场,16:55;19:15,锦州到上海,,1111111,,东方航空;MU2670,-,,
威海大水泊机场;上海浦东国际机场,16:55;18:55,威海到上海,,0011000,,东方航空;MU9354,-,,
威海大水泊机场;上海浦东国际机场,16:55;19:00,威海到上海,,1000101,,东方航空;MU9354,-,,
威海大水泊机场;上海浦东国际机场,16:55;19:05,威海到上海,,0000010,,东方航空;MU9354,-,,
哈尔滨太平国际机场;上海浦东国际机场,17:00;22:20,哈尔滨到上海,,1010101,,上海航空;FM9174,-,,
哈尔滨太平国际机场;上海浦东国际机场,17:00;22:20,哈尔滨到上海,,1010101,,东方航空;MU9174,-,,
吐鲁番交河机场;上海浦东国际机场,17:05;23:50,吐鲁番到上海,,0101010,,上海航空;FM9390,-,,
吐鲁番交河机场;上海浦东国际机场,17:05;23:50,吐鲁番到上海,,0101010,,东方航空;MU9390,¥820起;09-17周二,,
成都双流国际机场;上海浦东国际机场,17:05;20:15,成都到上海,,0000001,,四川航空;3U8647,-,,
南宁吴圩国际机场;上海浦东国际机场,17:05;20:00,南宁到上海,,1111111,,南方航空;CZ3289,-,,
南宁吴圩国际机场;上海浦东国际机场,17:05;20:00,南宁到上海,,1111111,,东方航空;MU3268,-,,
哈尔滨太平国际机场;上海浦东国际机场,17:10;20:20,哈尔滨到上海,,1000101,,中国国航;CA1192,-,,
青岛流亭国际机场;上海浦东国际机场,17:10;18:45,青岛到上海,,1111111,,南方航空;CZ6225,-,,
临沂沭埠岭机场;上海浦东国际机场,17:10;18:45,临沂到上海,,1111111,,吉祥航空;HO3762,-,,
临沂沭埠岭机场;上海浦东国际机场,17:10;18:45,临沂到上海,,1111111,,东方航空;MU5552,-,,
哈尔滨太平国际机场;上海浦东国际机场,17:10;20:20,哈尔滨到上海,,1000101,,山东航空;SC1192,-,,
西昌青山机场;上海浦东国际机场,17:15;22:20,西昌到上海,,1111111,,中国国航;CA4591,-,,
西昌青山机场;上海浦东国际机场,17:15;22:20,西昌到上海,,1111111,,深圳航空;ZH4591,-,,
深圳宝安国际机场;上海浦东国际机场,17:15;19:35,深圳到上海,,1111111,,四川航空;3U4059,-,,
成都双流国际机场;上海浦东国际机场,17:15;20:00,成都到上海,,0100010,,四川航空;3U5003,-,,
哈尔滨太平国际机场;上海浦东国际机场,17:15;20:30,哈尔滨到上海,,1111111,,四川航空;3U5144,-,,
深圳宝安国际机场;上海浦东国际机场,17:15;19:35,深圳到上海,,1111111,,中国国航;CA3817,-,,
成都双流国际机场;上海浦东国际机场,17:15;20:00,成都到上海,,0100010,,南方航空;CZ9162,-,,
沈阳桃仙国际机场;上海浦东国际机场,17:15;20:05,沈阳到上海,,0001000,,上海航空;FM9194,-,,
成都双流国际机场;上海浦东国际机场,17:15;20:00,成都到上海,,0100010,,吉祥航空;HO3690,-,,
深圳宝安国际机场;上海浦东国际机场,17:15;19:35,深圳到上海,,1111111,,吉祥航空;HO3967,-,,
深圳宝安国际机场;上海浦东国际机场,17:15;19:35,深圳到上海,,1111111,,昆明航空;KY9517,-,,
成都双流国际机场;上海浦东国际机场,17:15;20:00,成都到上海,,0100010,,东方航空;MU5416,-,,
成都双流国际机场;上海浦东国际机场,17:15;20:10,成都到上海,,0001000,,东方航空;MU5416,-,,
成都双流国际机场;上海浦东国际机场,17:15;20:15,成都到上海,,1000001,,东方航空;MU5416,-,,
哈尔滨太平国际机场;上海浦东国际机场,17:15;20:30,哈尔滨到上海,,1111111,,东方航空;MU5614,-,,
沈阳桃仙国际机场;上海浦东国际机场,17:15;20:05,沈阳到上海,,0001000,,东方航空;MU9194,-,,
深圳宝安国际机场;上海浦东国际机场,17:15;19:35,深圳到上海,,1111111,,深圳航空;ZH9517,-,,
克拉玛依机场;上海浦东国际机场,17:25;00:25,克拉玛依到上海,,1010101,,上海航空;FM9568,-,,
克拉玛依机场;上海浦东国际机场,17:25;00:25,克拉玛依到上海,,1010101,,东方航空;MU9568,-,,
成都双流国际机场;上海浦东国际机场,17:25;20:15,成都到上海,,0011010,,四川航空;3U8647,-,,
贵阳龙洞堡国际机场;上海浦东国际机场,17:25;19:50,贵阳到上海,,1111111,,中国国航;CA4563,-,,
贵阳龙洞堡国际机场;上海浦东国际机场,17:25;19:50,贵阳到上海,,1111111,,华夏航空;G58113,-,,
贵阳龙洞堡国际机场;上海浦东国际机场,17:25;19:50,贵阳到上海,,1111111,,吉祥航空;HO3913,-,,
三亚凤凰国际机场;上海浦东国际机场,17:25;20:45,三亚到上海,,0010010,,东方航空;MU5467,-,,
三亚凤凰国际机场;上海浦东国际机场,17:25;21:00,三亚到上海,,1000000,,东方航空;MU5467,-,,
贵阳龙洞堡国际机场;上海浦东国际机场,17:25;19:50,贵阳到上海,,1111111,,山东航空;SC4563,-,,
贵阳龙洞堡国际机场;上海浦东国际机场,17:25;19:50,贵阳到上海,,1111111,,深圳航空;ZH4563,-,,
昆明长水国际机场;上海浦东国际机场,17:30;22:20,昆明到上海,,1100111,,上海航空;FM9430,-,,
昆明长水国际机场;上海浦东国际机场,17:30;22:20,昆明到上海,,1100111,,东方航空;MU9430,-,,
石家庄正定国际机场;上海浦东国际机场,17:30;19:30,石家庄到上海,,1111111,,厦门航空;MF7015,-,,
石家庄正定国际机场;上海浦东国际机场,17:30;19:30,石家庄到上海,,1111111,,河北航空;NS3217,-,,
西安咸阳国际机场;上海浦东国际机场,17:40;19:55,西安到上海,,1010101,,四川航空;3U8211,-,,
珠海金湾机场;上海浦东国际机场,17:40;20:15,珠海到上海,,0101010,,中国国航;CA8716,-,,
贵阳龙洞堡国际机场;上海浦东国际机场,17:40;20:20,贵阳到上海,,1010101,,南方航空;CZ6577,-,,
西安咸阳国际机场;上海浦东国际机场,17:40;19:55,西安到上海,,1010101,,吉祥航空;HO3415,-,,
贵阳龙洞堡国际机场;上海浦东国际机场,17:40;20:20,贵阳到上海,,1010101,,东方航空;MU3253,-,,
西安咸阳国际机场;上海浦东国际机场,17:40;19:55,西安到上海,,1010101,,东方航空;MU4027,-,,
大连周水子国际机场;上海浦东国际机场,17:40;19:45,大连到上海,,1111111,,东方航空;MU5642,-,,
珠海金湾机场;上海浦东国际机场,17:40;20:15,珠海到上海,,0101010,,山东航空;SC8716,-,,
成都双流国际机场;上海浦东国际机场,17:45;20:35,成都到上海,,1111111,,成都航空;EU6667,-,,
长沙黄花国际机场;上海浦东国际机场,17:50;19:50,长沙到上海,,1111111,,南方航空;CZ3969,-,,
厦门高崎国际机场;上海浦东国际机场,17:50;20:00,厦门到上海,,1001001,,上海航空;FM9082,-,,
长沙黄花国际机场;上海浦东国际机场,17:50;19:50,长沙到上海,,1111111,,东方航空;MU3430,-,,
厦门高崎国际机场;上海浦东国际机场,17:50;20:00,厦门到上海,,1001001,,东方航空;MU9082,-,,
锡林浩特机场;上海浦东国际机场,18:00;22:40,锡林浩特到上海,,1111111,,中国国航;CA1553,-,,
深圳宝安国际机场;上海浦东国际机场,18:00;20:15,深圳到上海,,1111111,,四川航空;3U4055,-,,
深圳宝安国际机场;上海浦东国际机场,18:00;20:15,深圳到上海,,1111111,,中国国航;CA3519,-,,
西安咸阳国际机场;上海浦东国际机场,18:00;20:20,西安到上海,,1111100,,南方航空;CZ9383,-,,
西安咸阳国际机场;上海浦东国际机场,18:00;20:20,西安到上海,,1111100,,吉祥航空;HO3708,-,,
深圳宝安国际机场;上海浦东国际机场,18:00;20:15,深圳到上海,,1111111,,吉祥航空;HO3955,-,,
深圳宝安国际机场;上海浦东国际机场,18:00;20:15,深圳到上海,,1111111,,昆明航空;KY9505,-,,
西安咸阳国际机场;上海浦东国际机场,18:00;20:20,西安到上海,,1111100,,东方航空;MU2167,-,,
深圳宝安国际机场;上海浦东国际机场,18:00;20:15,深圳到上海,,1111111,,深圳航空;ZH9505,-,,
加格达奇机场;上海浦东国际机场,18:10;00:15,加格达奇到上海,,1010100,,东方航空;MU5694,-,,
西安咸阳国际机场;上海浦东国际机场,18:10;20:30,西安到上海,,0010001,,东方航空;MU264,-,,
银川河东机场;上海浦东国际机场,18:15;22:50,银川到上海,,1101110,,上海航空;FM9146,-,,
银川河东机场;上海浦东国际机场,18:15;23:10,银川到上海,,0010001,,上海航空;FM9146,-,,
银川河东机场;上海浦东国际机场,18:15;22:50,银川到上海,,1101110,,东方航空;MU9146,-,,
银川河东机场;上海浦东国际机场,18:15;23:10,银川到上海,,0010001,,东方航空;MU9146,-,,
日照山字河机场;上海浦东国际机场,18:15;19:50,日照到上海,,0010001,,上海航空;FM9126,-,,
日照山字河机场;上海浦东国际机场,18:15;20:00,日照到上海,,0001010,,上海航空;FM9126,-,,
包头东河机场;上海浦东国际机场,18:15;20:50,包头到上海,,1000010,,上海航空;FM9136,-,,
包头东河机场;上海浦东国际机场,18:15;21:00,包头到上海,,0100100,,上海航空;FM9136,-,,
沈阳桃仙国际机场;上海浦东国际机场,18:15;20:55,沈阳到上海,,1100100,,吉祥航空;HO1359,-,,
沈阳桃仙国际机场;上海浦东国际机场,18:15;21:10,沈阳到上海,,0011011,,吉祥航空;HO1359,-,,
沈阳桃仙国际机场;上海浦东国际机场,18:15;20:55,沈阳到上海,,1100100,,东方航空;MU4674,-,,
沈阳桃仙国际机场;上海浦东国际机场,18:15;21:10,沈阳到上海,,0011011,,东方航空;MU4674,-,,
日照山字河机场;上海浦东国际机场,18:15;19:50,日照到上海,,0010001,,东方航空;MU9126,-,,
日照山字河机场;上海浦东国际机场,18:15;20:00,日照到上海,,0001010,,东方航空;MU9126,-,,
大连周水子国际机场;上海浦东国际机场,18:20;20:20,大连到上海,,1111111,,南方航空;CZ6525,-,,
东营胜利机场;上海浦东国际机场,18:20;20:15,东营到上海,,1111111,,吉祥航空;HO1118,-,,
太原武宿国际机场;上海浦东国际机场,18:20;20:25,太原到上海,,1111111,,吉祥航空;HO3644,-,,
大连周水子国际机场;上海浦东国际机场,18:20;20:20,大连到上海,,1111111,,东方航空;MU3241,-,,
太原武宿国际机场;上海浦东国际机场,18:20;20:25,太原到上海,,1111111,,东方航空;MU5213,¥620起;10-09周三,,
包头东河机场;上海浦东国际机场,18:25;21:20,包头到上海,,0010000,,上海航空;FM9136,-,,
南充高坪机场;上海浦东国际机场,18:30;21:00,南充到上海,,0010010,,东方航空;MU5438,-,,
包头东河机场;上海浦东国际机场,18:40;23:05,包头到上海,,0101010,,上海航空;FM9336,-,,
哈尔滨太平国际机场;上海浦东国际机场,18:40;23:55,哈尔滨到上海,,0101010,,上海航空;FM9548,-,,
哈尔滨太平国际机场;上海浦东国际机场,18:40;23:55,哈尔滨到上海,,0101010,,东方航空;MU9548,-,,
柳州白莲机场;上海浦东国际机场,18:40;21:20,柳州到上海,,1111111,,吉祥航空;HO3778,-,,
柳州白莲机场;上海浦东国际机场,18:40;21:20,柳州到上海,,1111111,,东方航空;MU5326,-,,
南充高坪机场;上海浦东国际机场,18:40;21:10,南充到上海,,1000000,,东方航空;MU5438,-,,
揭阳潮汕机场;上海浦东国际机场,18:45;21:00,揭阳到上海,,1111111,,南方航空;CZ3853,-,,
乌鲁木齐地窝堡国际机场;上海浦东国际机场,18:45;23:20,乌鲁木齐到上海,,0101010,,金鹏航空;Y87514,-,,
武汉天河国际机场;上海浦东国际机场,18:50;20:25,武汉到上海,,1000000,,南方航空;CZ3543,-,,
芒市德宏机场;上海浦东国际机场,18:50;22:50,芒市到上海,,0101011,,南方航空;CZ3604,-,,
佛山沙堤机场;上海浦东国际机场,18:50;21:20,佛山到上海,,1111111,,中国联航;KN5728,-,,
武汉天河国际机场;上海浦东国际机场,18:50;20:25,武汉到上海,,1000000,,东方航空;MU3345,-,,
佛山沙堤机场;上海浦东国际机场,18:50;21:20,佛山到上海,,1111111,,东方航空;MU3800,-,,
南充高坪机场;上海浦东国际机场,18:50;21:20,南充到上海,,0000001,,东方航空;MU5438,-,,
银川河东机场;上海浦东国际机场,18:55;23:35,银川到上海,,0000001,,上海航空;FM9546,-,,
银川河东机场;上海浦东国际机场,18:55;23:45,银川到上海,,1010100,,上海航空;FM9546,¥1660起;10-07周一,,
银川河东机场;上海浦东国际机场,18:55;23:35,银川到上海,,0000001,,东方航空;MU9546,¥440起;09-20周五,,
银川河东机场;上海浦东国际机场,18:55;23:45,银川到上海,,1010100,,东方航空;MU9546,¥440起;09-20周五,,
海拉尔呼伦贝尔东山国际机场;上海浦东国际机场,18:55;22:50,海拉尔到上海,,0000010,,吉祥航空;HO1030,-,,
济南遥墙国际机场;上海浦东国际机场,18:55;20:40,济南到上海,,0101010,,东方航空;MU9636,-,,
包头东河机场;上海浦东国际机场,19:00;23:05,包头到上海,,1000100,,东方航空;MU9950,-,,
天津滨海国际机场;上海浦东国际机场,19:00;21:10,天津到上海,,1111111,,东方航空;MU2370,-,,
郑州新郑国际机场;上海浦东国际机场,19:05;20:55,郑州到上海,,1111111,,南方航空;CZ3597,-,,
大连周水子国际机场;上海浦东国际机场,19:05;21:10,大连到上海,,1111111,,南方航空;CZ3685,-,,
舟山普陀山机场;上海浦东国际机场,19:05;20:05,舟山到上海,,1111111,,东方航空;MU5206,-,,
重庆江北国际机场;上海浦东国际机场,19:05;21:30,重庆到上海,,0101010,,东方航空;MU5494,-,,
延吉朝阳川机场;上海浦东国际机场,19:05;22:25,延吉到上海,,1011101,,东方航空;MU5652,-,,
石家庄正定国际机场;上海浦东国际机场,19:05;21:00,石家庄到上海,,1011010,,东方航空;MU7792,-,,
石家庄正定国际机场;上海浦东国际机场,19:05;21:05,石家庄到上海,,0100001,,东方航空;MU7792,-,,
石家庄正定国际机场;上海浦东国际机场,19:05;21:15,石家庄到上海,,0000100,,东方航空;MU7792,-,,
济南遥墙国际机场;上海浦东国际机场,19:10;21:00,济南到上海,,0000001,,东方航空;MU9636,-,,
长沙黄花国际机场;上海浦东国际机场,19:15;21:20,长沙到上海,,1111111,,上海航空;FM9398,-,,
长沙黄花国际机场;上海浦东国际机场,19:15;21:20,长沙到上海,,1111111,,东方航空;MU9398,-,,
银川河东机场;上海浦东国际机场,19:20;22:25,银川到上海,,1010100,,南方航空;CZ8652,-,,
北京南苑机场;上海浦东国际机场,19:20;21:30,北京到上海,,1110001,,中国联航;KN5987,-,,
北海福成机场;上海浦东国际机场,19:20;22:15,北海到上海,,1111111,,东方航空;MU5266,¥960起;09-16周一,,
海口美兰国际机场;上海浦东国际机场,19:25;22:15,海口到上海,,0000001,,吉祥航空;HO1276,-,,
海口美兰国际机场;上海浦东国际机场,19:25;22:15,海口到上海,,0000001,,东方航空;MU4826,-,,
福州长乐国际机场;上海浦东国际机场,19:25;21:05,福州到上海,,1111111,,东方航空;MU5661,-,,
成都双流国际机场;上海浦东国际机场,19:30;22:20,成都到上海,,1111111,,中国国航;CA4591,-,,
青岛流亭国际机场;上海浦东国际机场,19:30;21:15,青岛到上海,,1111111,,中国国航;CA4605,-,,
青岛流亭国际机场;上海浦东国际机场,19:30;21:15,青岛到上海,,1111111,,山东航空;SC4605,-,,
成都双流国际机场;上海浦东国际机场,19:30;22:20,成都到上海,,1111111,,深圳航空;ZH4591,-,,
北京首都国际机场;上海浦东国际机场,19:35;22:10,北京到上海,,1111111,,南方航空;CZ9103,-,,
深圳宝安国际机场;上海浦东国际机场,19:35;22:00,深圳到上海,,0010001,,东海航空;DZ6368,-,,
深圳宝安国际机场;上海浦东国际机场,19:35;22:00,深圳到上海,,0100010,,东海航空;DZ6370,-,,
北京首都国际机场;上海浦东国际机场,19:35;22:10,北京到上海,,1111111,,东方航空;MU5130,-,,
郑州新郑国际机场;上海浦东国际机场,19:35;21:30,郑州到上海,,0010101,,东方航空;MU5394,-,,
巴彦淖尔天吉泰机场;上海浦东国际机场,19:40;00:30,巴彦淖尔到上海,,0101011,,中国国航;CA3238,-,,
南宁吴圩国际机场;上海浦东国际机场,19:40;00:10,南宁到上海,,1101011,,中国国航;CA3254,-,,
南宁吴圩国际机场;上海浦东国际机场,19:40;00:15,南宁到上海,,0000100,,中国国航;CA3254,-,,
南宁吴圩国际机场;上海浦东国际机场,19:40;00:20,南宁到上海,,0010000,,中国国航;CA3254,-,,
南宁吴圩国际机场;上海浦东国际机场,19:40;00:10,南宁到上海,,1101011,,吉祥航空;HO1040,-,,
南宁吴圩国际机场;上海浦东国际机场,19:40;00:15,南宁到上海,,0000100,,吉祥航空;HO1040,-,,
南宁吴圩国际机场;上海浦东国际机场,19:40;00:20,南宁到上海,,0010000,,吉祥航空;HO1040,-,,
西宁曹家堡机场;上海浦东国际机场,19:40;00:30,西宁到上海,,1010100,,吉祥航空;HO1070,-,,
巴彦淖尔天吉泰机场;上海浦东国际机场,19:40;00:30,巴彦淖尔到上海,,0101011,,吉祥航空;HO1090,-,,
西宁曹家堡机场;上海浦东国际机场,19:40;00:30,西宁到上海,,1010100,,东方航空;MU4884,-,,
南宁吴圩国际机场;上海浦东国际机场,19:40;00:10,南宁到上海,,1101011,,东方航空;MU4890,-,,
南宁吴圩国际机场;上海浦东国际机场,19:40;00:15,南宁到上海,,0000100,,东方航空;MU4890,-,,
南宁吴圩国际机场;上海浦东国际机场,19:40;00:20,南宁到上海,,0010000,,东方航空;MU4890,-,,
巴彦淖尔天吉泰机场;上海浦东国际机场,19:40;00:30,巴彦淖尔到上海,,0101011,,东方航空;MU4934,-,,
昆明长水国际机场;上海浦东国际机场,19:40;22:55,昆明到上海,,1111111,,中国国航;CA1938,-,,
长春龙嘉国际机场;上海浦东国际机场,19:40;22:30,长春到上海,,1111111,,上海航空;FM9180,-,,
昆明长水国际机场;上海浦东国际机场,19:40;22:55,昆明到上海,,1111111,,昆明航空;KY1938,-,,
长春龙嘉国际机场;上海浦东国际机场,19:40;22:30,长春到上海,,1111111,,东方航空;MU9180,-,,
昆明长水国际机场;上海浦东国际机场,19:40;22:55,昆明到上海,,1111111,,山东航空;SC1938,-,,
昆明长水国际机场;上海浦东国际机场,19:40;22:55,昆明到上海,,1111111,,深圳航空;ZH1938,-,,
包头东河机场;上海浦东国际机场,19:45;23:50,包头到上海,,0010001,,东方航空;MU9950,-,,
温州龙湾国际机场;上海浦东国际机场,19:45;21:00,温州到上海,,1111111,,中国国航;CA1967,-,,
长春龙嘉国际机场;上海浦东国际机场,19:45;22:35,长春到上海,,1111111,,南方航空;CZ6373,-,,
昆明长水国际机场;上海浦东国际机场,19:45;23:00,昆明到上海,,1111111,,南方航空;CZ6800,-,,
宜宾菜坝机场;上海浦东国际机场,19:45;22:50,宜宾到上海,,1000000,,南方航空;CZ9387,-,,
张家界荷花机场;上海浦东国际机场,19:45;21:55,张家界到上海,,0010010,,上海航空;FM9344,-,,
宜宾菜坝机场;上海浦东国际机场,19:45;22:50,宜宾到上海,,1000000,,吉祥航空;HO3738,-,,
昆明长水国际机场;上海浦东国际机场,19:45;23:00,昆明到上海,,1111111,,东方航空;MU3265,-,,
宜宾菜坝机场;上海浦东国际机场,19:45;22:50,宜宾到上海,,1000000,,东方航空;MU5268,-,,
南昌昌北国际机场;上海浦东国际机场,19:45;21:30,南昌到上海,,1111111,,东方航空;MU5532,-,,
张家界荷花机场;上海浦东国际机场,19:45;21:55,张家界到上海,,0010010,,东方航空;MU9344,-,,
温州龙湾国际机场;上海浦东国际机场,19:45;21:00,温州到上海,,1111111,,深圳航空;ZH1967,-,,
呼和浩特白塔国际机场;上海浦东国际机场,19:50;00:15,呼和浩特到上海,,0101010,,东方航空;MU5658,-,,
沈阳桃仙国际机场;上海浦东国际机场,19:50;22:35,沈阳到上海,,1111110,,南方航空;CZ6509,-,,
深圳宝安国际机场;上海浦东国际机场,19:50;22:05,深圳到上海,,1111000,,南方航空;CZ9373,-,,
连云港白塔埠机场;上海浦东国际机场,19:50;21:05,连云港到上海,,1111110,,上海航空;FM9418,-,,
温州龙湾国际机场;上海浦东国际机场,19:50;20:55,温州到上海,,0001110,,上海航空;FM9518,-,,
温州龙湾国际机场;上海浦东国际机场,19:50;21:10,温州到上海,,1100001,,上海航空;FM9518,-,,
大连周水子国际机场;上海浦东国际机场,19:50;22:00,大连到上海,,1111111,,华夏航空;G58526,-,,
济南遥墙国际机场;上海浦东国际机场,19:50;21:35,济南到上海,,1010100,,东方航空;MU2442,-,,
深圳宝安国际机场;上海浦东国际机场,19:50;22:05,深圳到上海,,1111000,,东方航空;MU5360,-,,
大连周水子国际机场;上海浦东国际机场,19:50;22:00,大连到上海,,1111111,,东方航空;MU5626,-,,
连云港白塔埠机场;上海浦东国际机场,19:50;21:05,连云港到上海,,1111110,,东方航空;MU9418,-,,
温州龙湾国际机场;上海浦东国际机场,19:50;20:55,温州到上海,,0001110,,东方航空;MU9518,-,,
温州龙湾国际机场;上海浦东国际机场,19:50;21:10,温州到上海,,1100001,,东方航空;MU9518,-,,
海口美兰国际机场;上海浦东国际机场,19:55;22:40,海口到上海,,1111111,,中国国航;CA1974,-,,
宜宾菜坝机场;上海浦东国际机场,19:55;23:00,宜宾到上海,,0010001,,南方航空;CZ9387,-,,
